"period","percent_number","ticker","Keyword"
"2018-06-06 03:00:00","0","BTC","|ticker| crash"
"2018-06-06 03:01:00","18630.8","BTC","|ticker|"
"2018-06-06 03:01:00","0","BTC","|ticker| invest"
"2018-06-06 03:01:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:01:00","0","BTC","sell |ticker|"
"2018-06-06 03:01:00","4727.21","BTC","|ticker| price"
"2018-06-06 03:01:00","0","BTC","|ticker| crash"
"2018-06-06 03:02:00","19186.9","BTC","|ticker|"
"2018-06-06 03:02:00","0","BTC","|ticker| invest"
"2018-06-06 03:02:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:02:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:02:00","4727.21","BTC","|ticker| price"
"2018-06-06 03:02:00","0","BTC","|ticker| crash"
"2018-06-06 03:03:00","19743","BTC","|ticker|"
"2018-06-06 03:03:00","0","BTC","|ticker| invest"
"2018-06-06 03:03:00","0","BTC","buy |ticker|"
"2018-06-06 03:03:00","0","BTC","sell |ticker|"
"2018-06-06 03:03:00","6395.63","BTC","|ticker| price"
"2018-06-06 03:03:00","0","BTC","|ticker| crash"
"2018-06-06 03:04:00","18352.7","BTC","|ticker|"
"2018-06-06 03:04:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:04:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:04:00","0","BTC","sell |ticker|"
"2018-06-06 03:04:00","5561.42","BTC","|ticker| price"
"2018-06-06 03:04:00","0","BTC","|ticker| crash"
"2018-06-06 03:05:00","20855.3","BTC","|ticker|"
"2018-06-06 03:05:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:05:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:05:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:05:00","6951.78","BTC","|ticker| price"
"2018-06-06 03:05:00","0","BTC","|ticker| crash"
"2018-06-06 03:06:00","20021.1","BTC","|ticker|"
"2018-06-06 03:06:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:06:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:06:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:06:00","4727.21","BTC","|ticker| price"
"2018-06-06 03:06:00","0","BTC","|ticker| crash"
"2018-06-06 03:07:00","21967.6","BTC","|ticker|"
"2018-06-06 03:07:00","0","BTC","|ticker| invest"
"2018-06-06 03:07:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:07:00","0","BTC","sell |ticker|"
"2018-06-06 03:07:00","7785.99","BTC","|ticker| price"
"2018-06-06 03:07:00","0","BTC","|ticker| crash"
"2018-06-06 03:08:00","20577.3","BTC","|ticker|"
"2018-06-06 03:08:00","0","BTC","|ticker| invest"
"2018-06-06 03:08:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:08:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:08:00","6951.78","BTC","|ticker| price"
"2018-06-06 03:08:00","0","BTC","|ticker| crash"
"2018-06-06 03:09:00","20577.3","BTC","|ticker|"
"2018-06-06 03:09:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:09:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:09:00","0","BTC","sell |ticker|"
"2018-06-06 03:09:00","6951.78","BTC","|ticker| price"
"2018-06-06 03:09:00","0","BTC","|ticker| crash"
"2018-06-06 03:10:00","16962.3","BTC","|ticker|"
"2018-06-06 03:10:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:10:00","0","BTC","buy |ticker|"
"2018-06-06 03:10:00","0","BTC","sell |ticker|"
"2018-06-06 03:10:00","3336.85","BTC","|ticker| price"
"2018-06-06 03:10:00","0","BTC","|ticker| crash"
"2018-06-06 03:11:00","22801.8","BTC","|ticker|"
"2018-06-06 03:11:00","0","BTC","|ticker| invest"
"2018-06-06 03:11:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:11:00","0","BTC","sell |ticker|"
"2018-06-06 03:11:00","6395.63","BTC","|ticker| price"
"2018-06-06 03:11:00","0","BTC","|ticker| crash"
"2018-06-06 03:12:00","18630.8","BTC","|ticker|"
"2018-06-06 03:12:00","0","BTC","|ticker| invest"
"2018-06-06 03:12:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:12:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:12:00","6395.63","BTC","|ticker| price"
"2018-06-06 03:12:00","0","BTC","|ticker| crash"
"2018-06-06 03:13:00","17240.4","BTC","|ticker|"
"2018-06-06 03:13:00","0","BTC","|ticker| invest"
"2018-06-06 03:13:00","834.213","BTC","buy |ticker|"
"2018-06-06 03:13:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:13:00","4727.21","BTC","|ticker| price"
"2018-06-06 03:13:00","0","BTC","|ticker| crash"
"2018-06-06 03:14:00","21133.4","BTC","|ticker|"
"2018-06-06 03:14:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:14:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:14:00","0","BTC","sell |ticker|"
"2018-06-06 03:14:00","5839.49","BTC","|ticker| price"
"2018-06-06 03:14:00","0","BTC","|ticker| crash"
"2018-06-06 03:15:00","21411.5","BTC","|ticker|"
"2018-06-06 03:15:00","0","BTC","|ticker| invest"
"2018-06-06 03:15:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:15:00","0","BTC","sell |ticker|"
"2018-06-06 03:15:00","4449.14","BTC","|ticker| price"
"2018-06-06 03:15:00","0","BTC","|ticker| crash"
"2018-06-06 03:16:00","20577.3","BTC","|ticker|"
"2018-06-06 03:16:00","0","BTC","|ticker| invest"
"2018-06-06 03:16:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:16:00","0","BTC","sell |ticker|"
"2018-06-06 03:16:00","6673.71","BTC","|ticker| price"
"2018-06-06 03:16:00","278.071","BTC","|ticker| crash"
"2018-06-06 03:17:00","16962.3","BTC","|ticker|"
"2018-06-06 03:17:00","0","BTC","|ticker| invest"
"2018-06-06 03:17:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:17:00","0","BTC","sell |ticker|"
"2018-06-06 03:17:00","6673.71","BTC","|ticker| price"
"2018-06-06 03:17:00","0","BTC","|ticker| crash"
"2018-06-06 03:18:00","18908.8","BTC","|ticker|"
"2018-06-06 03:18:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:18:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:18:00","0","BTC","sell |ticker|"
"2018-06-06 03:18:00","5561.42","BTC","|ticker| price"
"2018-06-06 03:18:00","0","BTC","|ticker| crash"
"2018-06-06 03:19:00","21133.4","BTC","|ticker|"
"2018-06-06 03:19:00","0","BTC","|ticker| invest"
"2018-06-06 03:19:00","0","BTC","buy |ticker|"
"2018-06-06 03:19:00","0","BTC","sell |ticker|"
"2018-06-06 03:19:00","6951.78","BTC","|ticker| price"
"2018-06-06 03:19:00","0","BTC","|ticker| crash"
"2018-06-06 03:20:00","16684.3","BTC","|ticker|"
"2018-06-06 03:20:00","0","BTC","|ticker| invest"
"2018-06-06 03:20:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:20:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:20:00","4171.07","BTC","|ticker| price"
"2018-06-06 03:20:00","0","BTC","|ticker| crash"
"2018-06-06 03:21:00","20577.3","BTC","|ticker|"
"2018-06-06 03:21:00","0","BTC","|ticker| invest"
"2018-06-06 03:21:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:21:00","0","BTC","sell |ticker|"
"2018-06-06 03:21:00","6673.71","BTC","|ticker| price"
"2018-06-06 03:21:00","0","BTC","|ticker| crash"
"2018-06-06 03:22:00","20855.3","BTC","|ticker|"
"2018-06-06 03:22:00","0","BTC","|ticker| invest"
"2018-06-06 03:22:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:22:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:22:00","6117.56","BTC","|ticker| price"
"2018-06-06 03:22:00","278.071","BTC","|ticker| crash"
"2018-06-06 03:23:00","21133.4","BTC","|ticker|"
"2018-06-06 03:23:00","0","BTC","|ticker| invest"
"2018-06-06 03:23:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:23:00","0","BTC","sell |ticker|"
"2018-06-06 03:23:00","6395.63","BTC","|ticker| price"
"2018-06-06 03:23:00","0","BTC","|ticker| crash"
"2018-06-06 03:24:00","22801.8","BTC","|ticker|"
"2018-06-06 03:24:00","0","BTC","|ticker| invest"
"2018-06-06 03:24:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:24:00","0","BTC","sell |ticker|"
"2018-06-06 03:24:00","6673.71","BTC","|ticker| price"
"2018-06-06 03:24:00","0","BTC","|ticker| crash"
"2018-06-06 03:25:00","18352.7","BTC","|ticker|"
"2018-06-06 03:25:00","0","BTC","|ticker| invest"
"2018-06-06 03:25:00","278.071","BTC","buy |ticker|"
"2018-06-06 03:25:00","0","BTC","sell |ticker|"
"2018-06-06 03:25:00","4171.07","BTC","|ticker| price"
"2018-06-06 03:25:00","0","BTC","|ticker| crash"
"2018-06-06 03:26:00","17796.5","BTC","|ticker|"
"2018-06-06 03:26:00","278.071","BTC","|ticker| invest"
"2018-06-06 03:26:00","556.142","BTC","buy |ticker|"
"2018-06-06 03:26:00","278.071","BTC","sell |ticker|"
"2018-06-06 03:26:00","5005.28","BTC","|ticker| price"
"2018-06-06 03:26:00","0","BTC","|ticker| crash"
"2018-06-06 03:27:00","21967.6","BTC","|ticker|"
"2018-06-06 03:27:00","0","BTC","|ticker| invest"
"2018-06-06 03:27:00","0","BTC","buy |ticker|"
"2018-06-06 03:27:00","0","BTC","sell |ticker|"
"2018-06-06 03:27:00","7507.92","BTC","|ticker| price"
"2018-06-06 03:27:00","0","BTC","|ticker| crash"
"2018-06-06 03:28:00","18074.6","BTC","|ticker|"
"2018-06-06 03:28:00","278.071","BTC","|ticker| invest"
